# Chunk-averaged data for fix avegroupC and group groupC
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 1500 189.99999999999972
  1 0.01 0 0
  2 0.03 0 0
  3 0.05 0 0
  4 0.07 0 0
  5 0.09 0 0
  6 0.11 0 0
  7 0.13 0 0
  8 0.15 0 0
  9 0.17 0 0
  10 0.19 0 0
  11 0.21 0 0
  12 0.23 0 0
  13 0.25 0 0
  14 0.27 0 0
  15 0.29 0 0
  16 0.31 0 0
  17 0.33 0 0
  18 0.35 0 0
  19 0.37 0 0
  20 0.39 0 0
  21 0.41 0 0
  22 0.43 0 0
  23 0.45 0 0
  24 0.47 0 0
  25 0.49 0 0
  26 0.51 0 0
  27 0.53 0 0
  28 0.55 0 0
  29 0.57 0 0
  30 0.59 0 0
  31 0.61 0 0
  32 0.63 0 0
  33 0.65 0 0
  34 0.67 0 0
  35 0.69 0 0
  36 0.71 0 0
  37 0.73 0 0
  38 0.75 0 0
  39 0.77 0 0
  40 0.79 0 0
  41 0.81 0 0
  42 0.83 0 0
  43 0.85 0 0
  44 0.87 0 0
  45 0.89 0 0
  46 0.91 0 0
  47 0.93 0 0
  48 0.95 0 0
  49 0.97 0 0
  50 0.99 0 0
  51 1.01 0 0
  52 1.03 0.0004 2.22222e-05
  53 1.05 0.0026 0.000144444
  54 1.07 0.0038 0.000211111
  55 1.09 0.0058 0.000322222
  56 1.11 0.0043 0.000238889
  57 1.13 0.0097 0.000538889
  58 1.15 0.0125 0.000694444
  59 1.17 0.0114 0.000633333
  60 1.19 0.0114 0.000633333
  61 1.21 0.0119 0.000661111
  62 1.23 0.0132 0.000733333
  63 1.25 0.0141 0.000783333
  64 1.27 0.0176 0.000977778
  65 1.29 0.016 0.000888889
  66 1.31 0.0104 0.000577778
  67 1.33 0.0113 0.000627778
  68 1.35 0.013 0.000722222
  69 1.37 0.0188 0.00104444
  70 1.39 0.0076 0.000422222
  71 1.41 0.0078 0.000433333
  72 1.43 0.0079 0.000438889
  73 1.45 0.0083 0.000461111
  74 1.47 0.0094 0.000522222
  75 1.49 0.0104 0.000577778
  76 1.51 0.0126 0.0007
  77 1.53 0.0176 0.000977778
  78 1.55 0.0115 0.000638889
  79 1.57 0.007 0.000388889
  80 1.59 0.0066 0.000366667
  81 1.61 0.0073 0.000405556
  82 1.63 0.0082 0.000455556
  83 1.65 0.0101 0.000561111
  84 1.67 0.0134 0.000744444
  85 1.69 0.0031 0.000172222
  86 1.71 0.0032 0.000177778
  87 1.73 0.003 0.000166667
  88 1.75 0.0031 0.000172222
  89 1.77 0.0031 0.000172222
  90 1.79 0.0035 0.000194444
  91 1.81 0.003 0.000166667
  92 1.83 0.0032 0.000177778
  93 1.85 0.0031 0.000172222
  94 1.87 0.0032 0.000177778
  95 1.89 0.0033 0.000183333
  96 1.91 0.0032 0.000177778
  97 1.93 0.0032 0.000177778
  98 1.95 0.0031 0.000172222
  99 1.97 0.0035 0.000194444
  100 1.99 0.0032 0.000177778
  101 2.01 0.0032 0.000177778
  102 2.03 0.0032 0.000177778
  103 2.05 0.0035 0.000194444
  104 2.07 0.0036 0.0002
  105 2.09 0.0032 0.000177778
  106 2.11 0.0031 0.000172222
  107 2.13 0.0033 0.000183333
  108 2.15 0.0035 0.000194444
  109 2.17 0.0034 0.000188889
  110 2.19 0.0032 0.000177778
  111 2.21 0.0036 0.0002
  112 2.23 0.0035 0.000194444
  113 2.25 0.0034 0.000188889
  114 2.27 0.0035 0.000194444
  115 2.29 0.0037 0.000205556
  116 2.31 0.0032 0.000177778
  117 2.33 0.0036 0.0002
  118 2.35 0.0037 0.000205556
  119 2.37 0.0035 0.000194444
  120 2.39 0.0035 0.000194444
  121 2.41 0.0035 0.000194444
  122 2.43 0.0039 0.000216667
  123 2.45 0.0035 0.000194444
  124 2.47 0.0035 0.000194444
  125 2.49 0.0038 0.000211111
  126 2.51 0.0036 0.0002
  127 2.53 0.0037 0.000205556
  128 2.55 0.0037 0.000205556
