# Chunk-averaged data for fix avegroupO and group groupO
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
10000 1500 379.9999999999999
  1 0.01 0.0309 0.00171667
  2 0.03 0.0313 0.00173889
  3 0.05 0.0249 0.00138333
  4 0.07 0.0164 0.000911111
  5 0.09 0.0153 0.00085
  6 0.11 0.0187 0.00103889
  7 0.13 0.0225 0.00125
  8 0.15 0.0139 0.000772222
  9 0.17 0.0091 0.000505556
  10 0.19 0.0095 0.000527778
  11 0.21 0.0098 0.000544444
  12 0.23 0.0113 0.000627778
  13 0.25 0.0145 0.000805556
  14 0.27 0.0068 0.000377778
  15 0.29 0.007 0.000388889
  16 0.31 0.0077 0.000427778
  17 0.33 0.0089 0.000494444
  18 0.35 0.0098 0.000544444
  19 0.37 0.0109 0.000605556
  20 0.39 0.0156 0.000866667
  21 0.41 0.0136 0.000755556
  22 0.43 0.012 0.000666667
  23 0.45 0.0064 0.000355556
  24 0.47 0.0073 0.000405556
  25 0.49 0.007 0.000388889
  26 0.51 0.006 0.000333333
  27 0.53 0.006 0.000333333
  28 0.55 0.0062 0.000344444
  29 0.57 0.0103 0.000572222
  30 0.59 0.0029 0.000161111
  31 0.61 0.003 0.000166667
  32 0.63 0.003 0.000166667
  33 0.65 0.0032 0.000177778
  34 0.67 0.0028 0.000155556
  35 0.69 0.0033 0.000183333
  36 0.71 0.0031 0.000172222
  37 0.73 0.0032 0.000177778
  38 0.75 0.0033 0.000183333
  39 0.77 0.0034 0.000188889
  40 0.79 0.0036 0.0002
  41 0.81 0.0036 0.0002
  42 0.83 0.0037 0.000205556
  43 0.85 0.0035 0.000194444
  44 0.87 0.0039 0.000216667
  45 0.89 0.004 0.000222222
  46 0.91 0.0035 0.000194444
  47 0.93 0.0039 0.000216667
  48 0.95 0.0036 0.0002
  49 0.97 0.0037 0.000205556
  50 0.99 0.0037 0.000205556
  51 1.01 0.0036 0.0002
  52 1.03 0.0033 0.000183333
  53 1.05 0.0033 0.000183333
  54 1.07 0.0033 0.000183333
  55 1.09 0.0033 0.000183333
  56 1.11 0.0032 0.000177778
  57 1.13 0.0033 0.000183333
  58 1.15 0.0032 0.000177778
  59 1.17 0.0028 0.000155556
  60 1.19 0.0032 0.000177778
  61 1.21 0.0033 0.000183333
  62 1.23 0.003 0.000166667
  63 1.25 0.0033 0.000183333
  64 1.27 0.003 0.000166667
  65 1.29 0.0031 0.000172222
  66 1.31 0.0029 0.000161111
  67 1.33 0.0032 0.000177778
  68 1.35 0.0032 0.000177778
  69 1.37 0.0032 0.000177778
  70 1.39 0.0031 0.000172222
  71 1.41 0.0031 0.000172222
  72 1.43 0.0031 0.000172222
  73 1.45 0.0032 0.000177778
  74 1.47 0.0034 0.000188889
  75 1.49 0.003 0.000166667
  76 1.51 0.0034 0.000188889
  77 1.53 0.0031 0.000172222
  78 1.55 0.0034 0.000188889
  79 1.57 0.0032 0.000177778
  80 1.59 0.0034 0.000188889
  81 1.61 0.0034 0.000188889
  82 1.63 0.0038 0.000211111
  83 1.65 0.0033 0.000183333
  84 1.67 0.0035 0.000194444
  85 1.69 0.0038 0.000211111
  86 1.71 0.0038 0.000211111
  87 1.73 0.0037 0.000205556
  88 1.75 0.0041 0.000227778
  89 1.77 0.0043 0.000238889
  90 1.79 0.0049 0.000272222
  91 1.81 0.0055 0.000305556
  92 1.83 0.0054 0.0003
  93 1.85 0.005 0.000277778
  94 1.87 0.0044 0.000244444
  95 1.89 0.0043 0.000238889
  96 1.91 0.0047 0.000261111
  97 1.93 0.0046 0.000255556
  98 1.95 0.0054 0.0003
  99 1.97 0.0083 0.000461111
  100 1.99 0.0056 0.000311111
  101 2.01 0.0045 0.00025
  102 2.03 0.0041 0.000227778
  103 2.05 0.0038 0.000211111
  104 2.07 0.004 0.000222222
  105 2.09 0.0038 0.000211111
  106 2.11 0.0036 0.0002
  107 2.13 0.0045 0.00025
  108 2.15 0.0049 0.000272222
  109 2.17 0.0064 0.000355556
  110 2.19 0.0084 0.000466667
  111 2.21 0.0083 0.000461111
  112 2.23 0.0078 0.000433333
  113 2.25 0.0121 0.000672222
  114 2.27 0.0138 0.000766667
  115 2.29 0.0174 0.000966667
  116 2.31 0.0162 0.0009
  117 2.33 0.0163 0.000905556
  118 2.35 0.0163 0.000905556
  119 2.37 0.0216 0.0012
  120 2.39 0.0234 0.0013
  121 2.41 0.022 0.00122222
  122 2.43 0.0225 0.00125
  123 2.45 0.0152 0.000844444
  124 2.47 0.0183 0.00101667
  125 2.49 0.0377 0.00209444
  126 2.51 0.0158 0.000877778
  127 2.53 0.0157 0.000872222
  128 2.55 0.016 0.000888889
  129 2.57 0.0172 0.000955556
  130 2.59 0.0186 0.00103333
  131 2.61 0.0139 0.000772222
  132 2.63 0.0142 0.000788889
  133 2.65 0.0153 0.00085
  134 2.67 0.0189 0.00105
  135 2.69 0.0156 0.000866667
  136 2.71 0.0159 0.000883333
  137 2.73 0.0163 0.000905556
  138 2.75 0.0115 0.000638889
  139 2.77 0.0107 0.000594444
  140 2.79 0.0115 0.000638889
  141 2.81 0.0125 0.000694444
  142 2.83 0.0066 0.000366667
  143 2.85 0.0066 0.000366667
  144 2.87 0.0066 0.000366667
  145 2.89 0.0066 0.000366667
  146 2.91 0.0067 0.000372222
  147 2.93 0.0066 0.000366667
  148 2.95 0.0066 0.000366667
  149 2.97 0.0066 0.000366667
  150 2.99 0.0069 0.000383333
  151 3.01 0.0064 0.000355556
  152 3.03 0.0066 0.000366667
  153 3.05 0.0067 0.000372222
  154 3.07 0.0068 0.000377778
  155 3.09 0.0069 0.000383333
  156 3.11 0.0068 0.000377778
  157 3.13 0.0066 0.000366667
  158 3.15 0.0067 0.000372222
  159 3.17 0.0068 0.000377778
  160 3.19 0.0064 0.000355556
  161 3.21 0.007 0.000388889
  162 3.23 0.0067 0.000372222
  163 3.25 0.0066 0.000366667
  164 3.27 0.0068 0.000377778
  165 3.29 0.0068 0.000377778
  166 3.31 0.0069 0.000383333
  167 3.33 0.0067 0.000372222
  168 3.35 0.0074 0.000411111
  169 3.37 0.0068 0.000377778
  170 3.39 0.0071 0.000394444
  171 3.41 0.0072 0.0004
  172 3.43 0.0074 0.000411111
  173 3.45 0.0075 0.000416667
  174 3.47 0.008 0.000444444
  175 3.49 0.008 0.000444444
  176 3.51 0.0077 0.000427778
  177 3.53 0.0078 0.000433333
  178 3.55 0.0081 0.00045
  179 3.57 0.0085 0.000472222
  180 3.59 0.0082 0.000455556
  181 3.61 0.0082 0.000455556
  182 3.63 0.0081 0.00045
  183 3.65 0.0081 0.00045
  184 3.67 0.0076 0.000422222
  185 3.69 0.0074 0.000411111
  186 3.71 0.0072 0.0004
  187 3.73 0.0075 0.000416667
  188 3.75 0.0075 0.000416667
  189 3.77 0.0072 0.0004
  190 3.79 0.0073 0.000405556
  191 3.81 0.0069 0.000383333
  192 3.83 0.0077 0.000427778
  193 3.85 0.0069 0.000383333
  194 3.87 0.0073 0.000405556
  195 3.89 0.0075 0.000416667
  196 3.91 0.0077 0.000427778
  197 3.93 0.0073 0.000405556
  198 3.95 0.0071 0.000394444
  199 3.97 0.0076 0.000422222
  200 3.99 0.0073 0.000405556
  201 4.01 0.0077 0.000427778
  202 4.03 0.0077 0.000427778
  203 4.05 0.0074 0.000411111
  204 4.07 0.0075 0.000416667
  205 4.09 0.008 0.000444444
  206 4.11 0.0081 0.00045
  207 4.13 0.0086 0.000477778
  208 4.15 0.0085 0.000472222
  209 4.17 0.0088 0.000488889
  210 4.19 0.0087 0.000483333
  211 4.21 0.0094 0.000522222
  212 4.23 0.0096 0.000533333
  213 4.25 0.0185 0.00102778
  214 4.27 0.0102 0.000566667
  215 4.29 0.0097 0.000538889
  216 4.31 0.0092 0.000511111
  217 4.33 0.0126 0.0007
  218 4.35 0.0151 0.000838889
  219 4.37 0.0138 0.000766667
  220 4.39 0.0133 0.000738889
  221 4.41 0.0091 0.000505556
  222 4.43 0.0094 0.000522222
  223 4.45 0.0087 0.000483333
  224 4.47 0.0093 0.000516667
  225 4.49 0.0091 0.000505556
  226 4.51 0.009 0.0005
  227 4.53 0.0093 0.000516667
  228 4.55 0.009 0.0005
  229 4.57 0.0089 0.000494444
  230 4.59 0.0152 0.000844444
  231 4.61 0.013 0.000722222
  232 4.63 0.0121 0.000672222
  233 4.65 0.0124 0.000688889
  234 4.67 0.013 0.000722222
  235 4.69 0.0135 0.00075
