sim	total_mean	CO2_mean	N2_mean	total_range	CO2_range	N2_range	T	mu_CO2	mu_N2	epsilon	phi_0	d	q_phi1	q_phi2	q_phi3	q_phi4	q_A1	q_A2	q_A3	q_A4
0001	194.56	19.39	175.17	0.46	1.19	0.85	269.7457	-8.0401	-2.5386	0.4858	581.0177	7.1354	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0002	303.77	284.12	19.64	3.09	3.77	1.26	279.7872	-6.0687	-5.3301	0.1914	551.9680	9.9781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0003	393.93	367.88	26.04	5.15	8.50	3.89	397.6274	-1.9333	-1.6916	0.4918	405.2907	2.8283	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0004	206.83	206.73	0.11	0.82	0.87	0.05	288.2710	-5.6659	-7.7785	0.0290	239.1942	2.4352	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0005	224.73	212.85	11.88	1.55	2.29	0.81	384.0400	-5.8403	-4.6971	0.2698	969.0132	8.4634	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0006	167.82	159.64	8.18	3.96	5.63	4.17	331.0124	-5.8108	-3.8420	0.4843	525.7664	2.0772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0007	151.51	146.78	4.72	0.39	0.50	0.14	256.5504	-6.9998	-6.9206	0.1686	448.5122	9.9880	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0008	53.70	41.53	12.17	0.32	0.46	0.14	324.5883	-5.7619	-5.4096	0.4642	104.7699	4.9793	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0009	222.51	13.79	208.72	0.28	0.16	0.37	383.5454	-6.1697	-2.8003	0.0709	57.0937	9.6497	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0010	392.12	391.14	0.97	5.69	5.70	0.14	298.6213	-3.5343	-6.2598	0.3815	381.2461	9.9395	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0011	274.19	243.58	30.61	1.64	9.85	9.55	201.3169	-6.5738	-3.0103	0.3094	211.5730	3.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0012	210.99	209.20	1.79	3.44	3.16	1.11	298.3587	-4.6755	-3.3545	0.2906	587.7184	3.2351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0013	102.20	52.43	49.78	0.60	1.14	0.55	323.0924	-4.0720	-2.8972	0.2267	3.3317	6.5721	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0014	200.97	188.58	12.40	1.28	2.21	1.62	351.8294	-5.3979	-3.2348	0.2463	969.9504	8.1456	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0015	170.56	169.90	0.66	1.88	2.03	0.79	358.0500	-5.7300	-3.5645	0.3217	357.6622	2.0632	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0016	300.93	300.18	0.75	4.33	4.45	1.01	317.4139	-5.2267	-6.6886	0.1781	479.5875	2.7973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0017	431.77	383.16	48.61	7.11	7.47	6.34	333.2142	-4.2536	-2.9033	0.0268	783.5302	2.7186	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0018	189.11	188.87	0.24	4.18	4.20	0.11	356.9375	-4.2932	-5.2728	0.1014	445.2916	3.3961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0019	237.82	104.47	133.35	1.36	3.00	1.81	302.9564	-5.3952	-3.4829	0.3608	22.6379	2.1789	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0020	118.50	118.11	0.40	3.27	4.28	1.11	244.6335	-6.5274	-6.8482	0.3880	403.8919	4.2228	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0021	297.31	286.67	10.64	6.28	5.09	4.48	244.0598	-4.7110	-2.7468	0.4693	667.9777	4.3021	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0022	120.46	120.34	0.12	2.70	2.72	0.02	208.2675	-4.9620	-6.8053	0.0858	222.0575	4.4515	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0023	294.02	293.78	0.24	1.68	1.75	0.12	267.3415	-3.1314	-5.9237	0.0809	530.3378	5.9011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0024	373.95	297.75	76.20	6.39	8.40	3.21	373.1774	-4.8545	-2.9618	0.3147	548.3551	2.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0025	254.59	250.87	3.72	2.70	2.88	0.33	231.6956	-8.2702	-7.5199	0.3604	694.9460	8.7222	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0026	208.91	206.31	2.60	0.37	0.64	0.66	347.1518	-3.7383	-4.2558	0.4388	899.4679	9.3194	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0027	317.06	303.42	13.65	3.23	4.82	1.59	302.2314	-5.9143	-5.8539	0.3129	382.8377	6.5107	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0028	247.77	242.91	4.87	3.55	3.02	1.86	331.2418	-6.6016	-3.5157	0.3681	889.9157	4.9291	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0029	229.05	189.21	39.84	4.40	17.88	18.08	306.6465	-7.9900	-1.6578	0.2675	752.1682	3.1309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0030	201.13	72.00	129.13	0.88	1.91	1.17	306.6672	-7.4472	-4.1168	0.2490	147.5155	2.3047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0031	199.30	194.52	4.78	1.85	2.57	0.72	283.4408	-7.7442	-6.0547	0.4827	240.9886	2.4518	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0032	328.84	312.83	16.01	2.67	4.34	1.87	317.6068	-5.3736	-5.2035	0.3735	568.1217	8.2687	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0033	209.27	59.85	149.41	1.47	4.05	2.58	246.0125	-7.8519	-3.6125	0.4850	587.7269	8.1657	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0034	183.47	183.36	0.11	4.14	4.17	0.03	297.6232	-3.2614	-6.2849	0.0265	323.1524	4.4367	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0035	234.47	234.09	0.38	3.16	3.20	0.04	234.0065	-9.0126	-9.2690	0.2918	781.1912	7.0086	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0036	136.53	73.99	62.54	0.62	1.55	0.93	355.0216	-4.1483	-2.9943	0.2479	43.5630	5.0666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
